year,month,date,temperature,specific humidity,relative humidity,surface pressure,wind speed,wind direction,rainfall
2001,1,1,25.67,15.44,74.88,99.12,2.03,291.56,0.05
2001,1,2,25.2,14.4,72.69,99.19,2.35,222.31,0.02
2001,1,3,25.59,14.59,71.69,99.23,2.12,214.25,0
2001,1,4,26.68,14.89,68.88,99.23,1.77,207.75,0.04
2001,1,5,26.78,14.53,67.12,99.26,1.69,190.69,0.02
2001,1,6,26.33,13.92,66.06,99.29,1.66,181.25,0.1
2001,1,7,25.2,11.6,59.56,99.22,2.17,181.94,0
2001,1,8,25.29,10.86,55.81,99.15,2.4,180.62,0
2001,1,9,25.56,12.02,59.5,99.21,2.37,166.69,0
2001,1,10,26.37,13.61,63.81,99.25,1.91,208.25,0
2001,1,11,26.85,14.59,66.44,99.15,1.97,199.12,0
2001,1,12,26.87,15.08,68.62,99.15,2.31,212.25,0
2001,1,13,27.41,15.38,68,99.2,2.06,178.69,0
2001,1,14,27.37,14.95,66.56,99.22,1.98,216.69,0.02
2001,1,15,26.84,13.37,61.62,99.28,2.31,180.94,0.03
2001,1,16,26.04,13.67,66.31,99.31,2.46,185.62,1.88
2001,1,17,26.55,11.47,55.12,99.33,1.85,118.06,0.06
2001,1,18,26.13,10.31,50.88,99.32,1.73,157.44,0
2001,1,19,26.84,11.84,54.62,99.22,2.31,136.19,0
2001,1,20,27.01,12.33,56.75,99.19,2.52,169.56,0
2001,1,21,26.67,11.66,54.75,99.11,2.07,174.88,0
2001,1,22,26.41,12.08,57,99.09,1.59,195.94,0
2001,1,23,26.58,11.78,55.31,99.01,2.23,189.25,0
2001,1,24,27.86,13.98,60.44,99.02,2.05,189.69,0
2001,1,25,28.2,15.38,65.25,99.07,1.54,235.06,0.02
2001,1,26,27.37,12.88,57.25,99.01,1.87,156.81,0.01
2001,1,27,25.6,11.84,57.88,99.16,2.23,163.12,0
2001,1,28,26.69,10.8,51.19,99.12,1.19,182.5,0
2001,1,29,26.4,11.05,53.44,99.17,2.08,183.75,0.03
2001,1,30,26.94,11.54,53.38,99.12,1.78,187.06,0
2001,1,31,27.58,13,57,98.99,1.98,197.75,0
2001,2,1,27.69,15.75,67.75,98.98,1.91,255.56,0.23
2001,2,2,27.11,15.75,70.19,98.98,1.95,227.75,0.15
2001,2,3,27.54,16.36,71.56,99.02,2.13,279.38,0.16
2001,2,4,27.59,16.05,69.94,99.05,2.23,286.44,0.05
2001,2,5,27.8,14.65,63.56,99.11,2.64,290.31,0
2001,2,6,27.72,13.67,60.12,99.13,2.74,264.56,0
